Titulo;Autor;Etiquetas;Año;Ubicación
100 Recetas de Tortillas;Carmen Sala;Cocina;0;1.3
1934. La Guerra civil empezo en Asturias;Angel Palomino;Otro;1998;1.2.2
365  recetas;Karlos Arguiñano;Cocina;2019;1.1.2.2
A Foreigner in Britain;Ramon Ybarra & Fiona Smith;Educativo;2013;3.1.1.2
Alguien que no soy;Elízabet Benavent;Otro;2016;2.2
Alto riesgo;Ken Follett;Novela;2001;1.2.4
Andrea y Andrés;Concha López Narváez;Infantil;1999;2.1
Ángeles y Demonios;Dan Brown;Thriller;0;1.1.1.2
Anotaciones sobre psicologia del lenguaje y del pensamiento;Raquel Rodriguez Gonzalez;Educativo;0;3.1.3.1
Antología poética;Rafael Alberti;Otro;0;1.1.1.2
Apuntes de Fisica;Circulo de lectores;Educativo;2008;3.1.3.1
Apuntes de ingles;Parramón Ediciones;Aprendizaje;2007;2.1
Apuntes de matemáticas;Parramón Ediciones;Aprendizaje;2007;2.1
Apuntes de Psicologia de la motivacion;Raquel Rodriguez Gonzalez;Educativo;0;3.1.1.1
Arboles y arbustos naturales de Asturias;Jose Maria Fernandez & Diaz-Formenti;Manual y guías;2021;2.2
Arroz;El pais;Cocina;0;1.3
Arzak. Secretos de cocina;Arzak;Cocina;0;2.2
Asterix El Galo ;El pais;Comic;2005;1.2.2
Astur;Isabel San Sebastián;Novela;2008;1.1.2.2
Asturias;Gaspar Melchor de Jovellanos;Manual y guías;2002;1.2.2
Asturias canciones;Inmaculada Quintanal;Canciones;1980;2.1
Asturias Conocer España;National Geographic;Manual y guías;2007;1.2.2
Asturias El viajero 1;El Pais;Manual y guías;2005;1.2.2
Asturias El viajero 2;El Pais;Manual y guías;2005;1.2.2
Atada a ti;Sylvia Day;Otro;2013;3.1.2.2
Atlas de Historia de España;Fernando Garcia de Cortazar;Atlas;2006;1.2.2
Atlas Ilustrado de La Legion;Susaeta;Atlas;2013;1.2.3
Atlas Mundial;El pais ;Atlas;1998;1.1.3.1
Atlas Mundial;Larousse;Atlas;1994;1.2.1
Aún quedan piratas en la Costa de la Muerte;Consuelo Jiménez de Cisneros;Infantil;2004;2.1
Autoescuela temario;La gallega;Manual y guías;0;2.2
Auxilio Judicial, administración de Justicia;Adams;Educativo;2008;3.1.1.3
Auxilio Judicial, casos practicos de diligencias judiciales;Adams;Educativo;2008;3.1.1.3
Ayudale a Crecer;Nestle;Manual y guías;0;3.1.1.1
Azul Venezia;Marina G.Torrus;Otro;2020;1.1.3.2
Bajo un cielo escarlata;Mark Sullivan;Novela;0;1.1.1.2
Barbarroja invasion de Rusia;John Keegan;Guerra;1970;3.1.1.2
Bases para una didactica de la educacion fisica y el deporte;Fernando Sanchez Bañuelos;Educativo;1986;3.1.3.1
Becas flacas;Tom Sharpe;Novela;1995;1.1.1.1
Bernabe (El mito de un bandolero);Jose R. Gomez Fouz;Otro;1993;1.2.2
Boy;Roald Dahl;Cuento;1996;3.1.1.1
Breve historia de España;F. Garcia de Cortazar & J.M. Gonzalez Vesga;Otro;1998;1.2.2
Buceador una Estrella;Fedas;Manual y guías;1995;3.1.1.1
Burlando a la parca;Josh Bazel;Novela;0;1.1.1.1
Cabo trafalgar;Arturo Pérez-Reverte;Acción y aventuras;2005;1.1.3.2
Calle de Rivero;Eduardo Gonzalez Suarez;Otro;0;1.2.2
Cánovas;Benito Pérez Galdós;Novela;2008;1.1.1.1
Cantar del Mio Cid;Desconocido;Clásico Español;1999;1.2.4
Cartas Cruzadas;Marcus Zusak;Otro;2012;3.2.1
Carteles de Historia;Salvat;Historia;1979;1.2.3
Cezanne ;Constance Naubert-riser;Arte;1993;1.1.2.1
Charlie y la fábrica de chocolate;Roald Dahl;Infantil;2006;2.1
Charlie yand the chocolate factory ;Roald Dahl;Cuento;1997;3.1.1.1
Chico malo;Carl Hiaasen;Novela;2002;1.1.2.2
